id,year,month,day,hour,minute,second,locationName,latitude,longitude,eqDepth,eqMagnitude,damageAmountOrder,eqMagMb,publish,damageAmountOrderTotal,housesDamagedTotal,housesDamagedAmountOrderTotal,country,regionCode,injuries,injuriesAmountOrder,housesDestroyed,housesDestroyedAmountOrder,housesDamaged,housesDamagedAmountOrder,eqMagMw,eqMagMs,injuriesTotal,injuriesAmountOrderTotal,housesDestroyedTotal,housesDestroyedAmountOrderTotal,deaths,deathsAmountOrder,damageMillionsDollars,eqMagMl,deathsTotal,deathsAmountOrderTotal,damageMillionsDollarsTotal,tsunamiEventId,intensity,volcanoEventId,area,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal,time
5597,2001,5,8,18,2,16.9,EL SALVADOR:  CONCHAGUA,13.605,-88.795,10.0,5.7,2.0,5.2,True,2.0,70.0,2.0,EL SALVADOR,100,,,84.0,2.0,70.0,2.0,5.7,5.4,,,84.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,2001-05-08 00:00:00+00:00
5598,2001,5,23,21,10,43.9,CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN,27.689,101.003,33.0,5.5,4.0,5.1,True,4.0,,,CHINA,30,605.0,3.0,,,,,5.5,5.3,605.0,3.0,,,2.0,1.0,36.0,,2.0,1.0,36.0,,,,,,,,,2001-05-23 00:00:00+00:00
5599,2001,6,1,14,0,43.6,AFGHANISTAN:  HINDU KUSH:  PARVAN,35.169,69.389,62.0,5.0,1.0,5.0,True,,,,AFGHANISTAN,40,20.0,1.0,,2.0,,2.0,5.0,4.6,20.0,1.0,,2.0,4.0,1.0,,,4.0,1.0,,,,,,,,,,2001-06-01 00:00:00+00:00
5601,2001,6,23,20,33,14.1,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",-16.265,-73.641,33.0,8.4,4.0,6.7,True,4.0,,,PERU,160,2713.0,4.0,22399.0,4.0,,,8.4,8.2,2713.0,4.0,25399.0,4.0,77.0,2.0,,,103.0,3.0,200.0,2373.0,8.0,,,68.0,2.0,138.0,3.0,2001-06-23 00:00:00+00:00
5602,2001,6,25,13,28,46.5,TURKEY:  OSMANIYE,37.238,36.206,5.0,5.5,1.0,5.2,True,1.0,66.0,2.0,TURKEY,140,130.0,3.0,,,,,5.5,4.9,130.0,3.0,,,,,,,,,,,,,,,,,,2001-06-25 00:00:00+00:00
5603,2001,7,5,13,53,48.3,"PERU:  CARAVELI, CHALA, ARICA, IQUIQUE, PARINACOTA",-16.086,-73.987,62.0,6.6,2.0,6.2,True,2.0,,,PERU,160,,,300.0,3.0,,,6.6,,,,300.0,3.0,,,,,,,,,,,,,,,,2001-07-05 00:00:00+00:00
5604,2001,7,7,9,38,43.5,"PERU:  AREQUIPA, ARICA",-17.543,-72.077,33.0,7.6,2.0,6.6,True,2.0,,,PERU,160,30.0,1.0,200.0,3.0,,,7.6,7.3,30.0,1.0,200.0,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,2001-07-07 00:00:00+00:00
5605,2001,7,14,18,36,8.3,CHINA:  YUNNAN PROVINCE:  JIANGCHUAN,24.455,102.66,33.0,4.3,1.0,4.6,True,1.0,,,CHINA,30,2.0,1.0,150.0,3.0,150.0,3.0,,4.3,2.0,1.0,150.0,3.0,,,,4.7,,,,,,,,,,,,2001-07-14 00:00:00+00:00
5606,2001,7,26,0,21,36.9,GREECE:  SKYROS,39.059,24.244,10.0,6.5,1.0,6.0,True,1.0,100.0,2.0,GREECE,130,,,,,100.0,2.0,6.5,6.6,,,,,,,,,,,,,,,,,,,,2001-07-26 00:00:00+00:00
5607,2001,8,9,2,6,59.9,PERU:  ANTABAMA,-14.258,-72.683,33.0,5.8,2.0,5.4,True,2.0,,,PERU,160,15.0,1.0,,3.0,,,5.8,5.5,15.0,1.0,,3.0,4.0,1.0,,,4.0,1.0,,,,,,,,,,2001-08-09 00:00:00+00:00
