id,time_ms,longitude,latitude,depth_km,magnitude,mag_type,place,sig,felt,cdi,mmi,alert,tsunami,type,url,time
us7000jk0f,1678860693118,81.9445,34.6294,10.0,4.3,mb,"203 km S of Aqqan, China",284,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk0f,2023-03-15 06:11:33.118000+00:00
us7000jk0j,1678861627949,32.5012,34.5912,10.0,4.2,mb,"17 km S of Koloni, Cyprus",273,5.0,2.7,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk0j,2023-03-15 06:27:07.949000+00:00
us7000jk0l,1678862184975,-106.72,18.4937,10.0,4.5,mb,"off the coast of Jalisco, Mexico",312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk0l,2023-03-15 06:36:24.975000+00:00
us7000jk0w,1678865952890,-173.4803,-15.0379,20.76,4.7,mb,"106 km NNE of Hihifo, Tonga",340,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk0w,2023-03-15 07:39:12.890000+00:00
pr2023074000,1678866706470,-66.9568,17.9291,7.0,4.2,ml,"6 km SW of Guánica, Puerto Rico",286,33.0,4.3,3.567,green,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2023074000,2023-03-15 07:51:46.470000+00:00
us7000jk1c,1678869184964,-86.4468,10.6589,10.0,4.3,mb,"77 km WNW of Tamarindo, Costa Rica",284,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk1c,2023-03-15 08:33:04.964000+00:00
us7000jk2b,1678872500095,-174.4515,-17.9228,125.517,4.5,mb,"94 km NNW of Neiafu, Tonga",312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk2b,2023-03-15 09:28:20.095000+00:00
us7000jk2y,1678872942096,-70.5426,-28.3108,71.562,4.2,mb,"Atacama, Chile",271,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk2y,2023-03-15 09:35:42.096000+00:00
us7000jk30,1678873242815,81.9103,33.7831,10.0,4.4,mb,"297 km S of Aqqan, China",298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk30,2023-03-15 09:40:42.815000+00:00
us7000jlgr,1678875220750,155.0939,-6.7728,10.0,4.2,mb,"66 km SW of Panguna, Papua New Guinea",271,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlgr,2023-03-15 10:13:40.750000+00:00
us7000jlgv,1678879853484,-77.764,5.4355,28.643,4.4,mb,"62 km WSW of Nuquí, Colombia",298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlgv,2023-03-15 11:30:53.484000+00:00
us7000jk3n,1678880773358,-77.6017,5.4963,10.0,4.4,mb,"43 km WSW of Nuquí, Colombia",298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk3n,2023-03-15 11:46:13.358000+00:00
us7000jk3x,1678883175692,-178.5807,-17.4994,534.512,4.5,mb,"231 km ENE of Levuka, Fiji",312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk3x,2023-03-15 12:26:15.692000+00:00
us7000jk47,1678888887185,134.0179,-5.3287,10.0,4.0,mb,"144 km ENE of Tual, Indonesia",246,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk47,2023-03-15 14:01:27.185000+00:00
us7000jk4e,1678891471388,-102.3151,19.5191,9.928,4.4,mb,"2 km SSE of Santa Ana Zirosto, Mexico",298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk4e,2023-03-15 14:44:31.388000+00:00
us6000k1sp,1678892041421,-102.4285,19.5811,5.119,4.2,mwr,"4 km NW of San Francisco Peribán, Mexico",271,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us6000k1sp,2023-03-15 14:54:01.421000+00:00
us7000jlgt,1678892295155,-102.4312,19.5913,5.909,4.1,mwr,"Michoacan, Mexico",259,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlgt,2023-03-15 14:58:15.155000+00:00
us7000jlgu,1678893632880,159.8292,-53.2211,16.082,4.0,mb,Macquarie Island region,246,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlgu,2023-03-15 15:20:32.880000+00:00
us7000jk4l,1678894346923,123.3533,3.1581,488.249,4.0,mb,"249 km NW of Manado, Indonesia",246,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk4l,2023-03-15 15:32:26.923000+00:00
us7000jlgx,1678899232655,-109.2682,-8.9189,10.0,4.5,mb,central East Pacific Rise,312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlgx,2023-03-15 16:53:52.655000+00:00
us7000jk6s,1678899440121,154.9978,-7.198,10.0,4.6,mb,"111 km SSW of Panguna, Papua New Guinea",326,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk6s,2023-03-15 16:57:20.121000+00:00
us7000jk59,1678899547887,-79.0222,-44.4409,10.0,4.6,mb,"Off the coast of Aisen, Chile",326,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk59,2023-03-15 16:59:07.887000+00:00
us7000jk7d,1678905559313,-178.6691,-17.7814,558.399,4.4,mb,"215 km E of Levuka, Fiji",298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk7d,2023-03-15 18:39:19.313000+00:00
us7000jlgy,1678907962708,153.7007,-5.3057,44.87,4.6,mb,"191 km SE of Kokopo, Papua New Guinea",326,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlgy,2023-03-15 19:19:22.708000+00:00
us7000jk7j,1678908004987,161.6673,-9.7865,10.63,4.8,mb,"78 km NNW of Kirakira, Solomon Islands",354,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk7j,2023-03-15 19:20:04.987000+00:00
us7000jk7v,1678909780083,139.4477,-2.3878,27.806,4.4,mb,"133 km W of Abepura, Indonesia",298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk7v,2023-03-15 19:49:40.083000+00:00
us7000jlh6,1678914538520,132.6425,-5.4603,56.608,4.0,mb,"22 km NNW of Tual, Indonesia",246,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlh6,2023-03-15 21:08:58.520000+00:00
us7000jk9p,1678915539711,126.9061,4.7016,56.549,5.4,mww,"177 km ESE of Sarangani, Philippines",449,,,4.429,green,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk9p,2023-03-15 21:25:39.711000+00:00
us7000jk9s,1678916121372,-70.8414,-24.3668,32.261,4.0,mwr,"91 km SSW of Antofagasta, Chile",246,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk9s,2023-03-15 21:35:21.372000+00:00
us7000jlgz,1678916434209,159.5122,-53.1932,14.79,4.4,mb,Macquarie Island region,298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlgz,2023-03-15 21:40:34.209000+00:00
us7000jlh0,1678916956629,127.1203,2.8356,52.818,4.4,mb,"157 km NW of Tobelo, Indonesia",298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlh0,2023-03-15 21:49:16.629000+00:00
us7000jka7,1678917042459,-76.0855,3.9045,177.822,4.5,mb,"18 km ESE of San Pedro, Colombia",312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jka7,2023-03-15 21:50:42.459000+00:00
us7000jlpx,1678927748034,126.8654,2.482,35.0,4.0,mb,"152 km WNW of Tobelo, Indonesia",246,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlpx,2023-03-16 00:49:08.034000+00:00
us7000jkbd,1678928160149,-176.2047,-30.1741,10.0,7.0,mww,Kermadec Islands region,759,6.0,8.0,4.394,green,1,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jkbd,2023-03-16 00:56:00.149000+00:00
us7000jlqc,1678929373600,128.6796,-7.3603,147.101,4.4,mb,"225 km NE of Lospalos, Timor Leste",298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlqc,2023-03-16 01:16:13.600000+00:00
us7000jlq1,1678930090858,-176.4125,-30.1633,10.0,5.1,mb,Kermadec Islands region,400,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlq1,2023-03-16 01:28:10.858000+00:00
us7000jlpt,1678930739203,-176.5995,-30.5514,10.0,4.3,mb,Kermadec Islands region,284,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlpt,2023-03-16 01:38:59.203000+00:00
us7000jlq5,1678930878816,-176.7304,-30.1435,10.0,4.7,mb,Kermadec Islands region,340,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlq5,2023-03-16 01:41:18.816000+00:00
